date	day_of_week	sales_amount	customer_count	average_spend	weather	min_temp	max_temp	is_closed
2025/8/12	火				晴れ時々曇り	26	30	1
2025/8/13	水				晴れ	25	33	1
2025/8/14	木				晴れ→曇り	26	34	1
2025/8/15	金	257383	180	1430	晴れ時々曇り	27	36	0
2025/8/16	土	328490	250	1314	晴れ時々曇り	26	36	0
2025/8/17	日	313076	229	1367	晴れ時々曇り	28	36	0
2025/8/18	月	185688	151	1230	晴れ時々曇り	25	37	0
2025/8/19	火				晴れ	26	36	1
2025/8/20	水				晴れ時々曇り	27	37	1
2025/8/21	木	192348	161	1195	晴れ時々曇り	28	37	0
2025/8/22	金	199730	165	1210	晴れ時々曇り	27	36	0
2025/8/23	土	453814	292	1554	晴れ時々曇り	28	36	0
2025/8/24	日	389713	281	1387	晴れ時々曇り	28	37	0
2025/8/25	月	221523	175	1266	晴れ時々曇り	28	36	0
2025/8/26	火				晴れ時々曇り	28	35	1
2025/8/27	水				晴れ時々曇り	27	35	1
2025/8/28	木	181619	164	1107	晴れ時々曇り	25	35	0
2025/8/29	金	200637	172	1166	晴れ時々曇り	27	35	0
2025/8/30	土	304179	245	1242	晴れ	27	37	0
2025/8/31	日	345893	264	1310	晴れ	26	38	0
2025/9/1	月	222419	177	1257	晴れ	27	37	0
2025/9/2	火				晴れ時々曇り	28	36	1
2025/9/3	水				晴れ→曇り	27	36	1
2025/9/4	木	227960	202	1129	晴れ→曇り	26	31	0
2025/9/5	金	196672	175	1124	晴れ→曇り	24	33	0
2025/9/6	土	314894	248	1270	晴れ時々曇り	25	34	0
2025/9/7	日	343523	278	1236	晴れ時々曇り	25	33	0
2025/9/8	月	175206	168	1043	晴れ時々曇り	26	33	0
2025/9/9	火				晴れ時々曇り	26	35	1
2025/9/10	水				晴れ時々曇り	26	34	1
2025/9/11	木	199391	179	1114	晴れ時々曇り	25	31	0
2025/9/12	金	171497	158	1085	晴れ時々曇り	23	28	0
2025/9/13	土	348215	280	1244	晴れ時々曇り	23	28	0
2025/9/14	日	317538	253	1255	晴れ時々曇り	25	31	0
2025/9/15	月	280033	230	1218	晴れ	26	34	0
2025/9/16	火				晴れ時々曇り	24	34	1
2025/9/17	水				晴れ時々曇り	27	34	1
2025/9/18	木	185049	169	1095	晴れ→曇り	26	33	0
2025/9/19	金	200654	164	1224	晴れ→曇り	23	30	0
2025/9/20	土	354195	273	1297	晴れ時々曇り	21	24	0
2025/9/21	日	315728	267	1183	晴れ時々曇り	20	30	0
2025/9/22	月	194731	175	1113	晴れ時々曇り	18	28	0
2025/9/23	火				晴れ時々曇り	21	27	1
2025/9/24	水				晴れ→曇り	19	25	1
2025/9/25	木	211372	179	1181	晴れ時々曇り	21	24	0
2025/9/26	金	202362	180	1124	晴れ時々曇り	20	32	0
2025/9/27	土	396384	292	1357	晴れ時々曇り	19	30	0
2025/9/28	日	376825	274	1375	晴れ時々曇り	20	29	0
2025/9/29	月	225115	178	1265	晴れ時々曇り	21	28	0
2025/9/30	火				晴れ時々曇り	19	29	1
2025/10/1	水				晴れ時々曇り	19	25	1
2025/10/2	木	228648	186	1229	晴れ時々曇り	17	29	0
2025/10/3	金	202293	177	1143	晴れ時々曇り	19	26	0
2025/10/4	土	356968	263	1357	晴れ時々曇り	19	20	0
2025/10/5	日	337135	265	1272	晴れ時々曇り	20	22	0
2025/10/6	月	187371	164	1143	晴れ時々曇り	20	30	0
2025/10/7	火				晴れ時々曇り	22	26	1
2025/10/8	水				晴れ時々曇り	20	31	1
2025/10/9	木	190359	178	1069	晴れ	19	29	0
2025/10/10	金	201455	188	1072	晴れ時々曇り	17	25	0
2025/10/11	土	383781	287	1337	晴れ	19	21	0
2025/10/12	日	329652	247	1335	晴れ	20	26	0
2025/10/13	月	297974	235	1268	晴れ時々曇り	21	30	0
2025/10/14	火				晴れ時々曇り	19	23	1
2025/10/15	水				晴れ時々曇り	19	24	1
2025/10/16	木	207196	187	1108	晴れ時々曇り	20	21	0
2025/10/17	金	208374	184	1132	晴れ時々曇り	19	28	0
2025/10/18	土	504190	329	1532	晴れ	19	23	0
2025/10/19	日	438000	301	1455	晴れ	19	23	0
2025/10/20	月	166095	155	1072	晴れ時々曇り	16	24	0
2025/10/21	火				晴れ時々曇り	14	19	1
2025/10/22	水				晴れ	14	16	1
2025/10/23	木	188554	170	1109	晴れ時々曇り	12	22	0
2025/10/24	金	213211	178	1198	晴れ時々曇り	13	21	0
2025/10/25	土	332194	269	1235	晴れ時々曇り	15	19	0
2025/10/26	日	369955	276	1340	晴れ時々曇り	16	20	0
2025/10/27	月	219346	192	1142	晴れ時々曇り	14	21	0
2025/10/28	火				晴れ	10	17	1
2025/10/29	水				晴れ	8	20	1
2025/10/30	木	249072	213	1169	晴れ時々曇り	9	20	0
2025/10/31	金	226589	196	1156	晴れ時々曇り	13	17	0
2025/11/1	土	376383	280	1344	晴れ時々曇り	13	20	0
2025/11/2	日	380909	272	1400	晴れ時々曇り	11	18	0
2025/11/3	月	331024	261	1268	晴れ→曇り	10	17	0
2025/11/4	火				晴れ→曇り	7	17	1
2025/11/5	水				晴れ	13	16	1
2025/11/6	木	233132	195	1196	晴れ時々曇り	11	23	0
2025/11/7	金	197565	185	1068	晴れ	12	21	0
2025/11/8	土	358211	266	1347	晴れ→曇り	8	19	0
2025/11/9	日	326664	240	1361	晴れ時々曇り	13	15	0
2025/11/10	月	211311	197	1073	晴れ時々曇り	8	18	0
2025/11/11	火				晴れ時々曇り	7	17	1
2025/11/12	水				晴れ→曇り	6	15	1
2025/11/13	木	209776	184	1140	晴れ	11	17	0
2025/11/14	金	198550	176	1128	晴れ時々曇り	9	21	0
2025/11/15	土	325383	242	1345	晴れ	7	19	0
2025/11/16	日	386689	285	1357	晴れ	7	19	0
2025/11/17	月	190013	181	1050	晴れ時々曇り	9	21	0
2025/11/18	火				晴れ時々曇り	6	14	1
2025/11/19	水				晴れ時々曇り	5	13	1
2025/11/20	木	195637	161	1215	晴れ	3	15	0
2025/11/21	金	212912	193	1103	晴れ時々曇り	5	17	0
2025/11/22	土	427119	282	1515	晴れ	8	17	0
2025/11/23	日	445102	310	1436	晴れ	5	18	0
2025/11/24	月	406275	268	1516	晴れ時々曇り	5	19	0
2025/11/25	火				晴れ時々曇り	9	12	1
2025/11/26	水				晴れ時々曇り	9	17	1
2025/11/27	木	225214	211	1067	晴れ時々曇り	6	16	0
2025/11/28	金	209157	179	1168	晴れ時々曇り	9	14	0
2025/11/29	土	305426	246	1242	晴れ	6	16	0
2025/11/30	日	378999	279	1358	晴れ	4	17	0
2025/12/1	月	198567	174	1141	晴れ時々曇り	6	19	0
2025/12/2	火				晴れ時々曇り	9	19	1
2025/12/3	水				晴れ時々曇り	2	13	1
2025/12/4	木	201215	170	1184	晴れ時々曇り	1	7	0
2025/12/5	金	229782	189	1216	晴れ時々曇り	3	8	0
2025/12/6	土	388771	279	1393	晴れ時々曇り	0	11	0
2025/12/7	日	386831	289	1339	晴れ	2	14	0
2025/12/8	月	165824	163	1017	晴れ時々曇り	5	14	0
2025/12/9	火				晴れ	5	13	1
2025/12/10	水				晴れ時々曇り	4	13	1
2025/12/11	木	241250	222	1087	晴れ時々曇り	4	13	0
2025/12/12	金	208043	191	1089	晴れ時々曇り	3	9	0
2025/12/13	土	378649	292	1297	晴れ→曇り	0	9	0
2025/12/14	日	394927	283	1396	晴れ→曇り	5	13	0
2025/12/15	月	199150	180	1106	晴れ時々曇り	4	10	0
2025/12/16	火				晴れ時々曇り	3	13	1
2025/12/17	水				晴れ→曇り	4	11	1
2025/12/18	木	209252	177	1182	晴れ	4	13	0
2025/12/19	金	236262	204	1158	晴れ時々曇り	3	15	0
2025/12/20	土	468775	316	1483	晴れ時々曇り	9	14	0
2025/12/21	日	430079	306	1405	晴れ時々曇り	10	13	0
2025/12/22	月	192482	175	1100	晴れ	4	12	0
2025/12/23	火				晴れ時々曇り	3	12	1
2025/12/24	水				晴れ→曇り	8	12	1
2025/12/25	木	237292	211	1125	晴れ時々曇り	9	12	0
2025/12/26	金	176850	168	1053	晴れ→曇り	1	8	0
2025/12/27	土	340763	263	1296	晴れ時々曇り	0	5	0
2025/12/28	日	363973	248	1468	晴れ	1	11	0
2025/12/29	月	294217	204	1442	晴れ時々曇り	0	11	0
2025/12/30	火							1
2025/12/31	水							1
2026/1/1	木							1
2026/1/2	金							1
2026/1/3	土							1
2026/1/4	日	513423	280	1834	曇り時々晴れ	-1	7	0
2026/1/5	月	224560	187	1201	曇り時々晴れ	3	9	0
2026/1/6	火							1
2026/1/7	水							1
2026/1/8	木	217123	191	1137	晴れ時々雪	2	7	0
2026/1/9	金	194010	163	1190	晴れ	0	8	0
2026/1/10	土	376718	288	1308	晴れ時々曇り	-1	10	0
2026/1/11	日	349207	250	1397	晴れのち雪	-2	8	0
2026/1/12	月	210568	156	1350	晴れ時々曇り	-2	4	0
2026/1/13	火				晴れ時々雪	0	7	1
2026/1/14	水				晴れ時々曇り	0	7	1
2026/1/15	木	231240	203	1139	晴れのち曇り	0	8	0
2026/1/16	金	205131	184	1115	晴れ時々雨	3	14	0
2026/1/17	土	337958	253	1336	晴れ	1	15	0
2026/1/18	日	349186	272	1284	晴れ	2	14	0
2026/1/19	月	207662	186	1116	晴れ時々曇り	2	14	0
2026/1/20	火				晴れ時々曇り	1	9	1
2026/1/21	水				晴れのち雪	0	5	1
2026/1/22	木	199563	186	1073	晴れのち雪	-2	3	0
2026/1/23	金	185918	174	1068	雪時々晴れ	-1	4	0
2026/1/24	土	378800	280	1353	曇りのち雪	-1	7	0
2026/1/25	日	351836	254	1385	晴れ時々雪	0	4	0
2026/1/26	月	246346	165	1493	晴れ時々曇り	0	5	0
2026/1/27	火				曇り時々晴れ	-1	4	1
2026/1/28	水				晴れ時々雪	0	7	1
2026/1/29	木	235906	198	1191	雪時々晴れ	-1	4	0
2026/1/30	金	195582	172	1137	晴れ時々雪	-2	4	0
2026/1/31	土	377224	298	1266	晴れ時々曇り	-3	6	0
2026/2/1	日	389878	298	1308	晴れ時々雪	-1	7	0
2026/2/2	月	202407	186	1088	晴れ時々曇り	0	8	0
2026/2/3	火				晴れ	0	7	1
2026/2/4	水				晴れ時々曇り	-2	11	1
2026/2/5	木	230790	192	1202	晴れ時々曇り	1	13	0
2026/2/6	金	204072	173	1180	曇り時々晴れ	2	12	0
2026/2/7	土	411073	284	1447	曇り時々晴れ	2	7	0
2026/2/8	日	338897	229	1480	晴れ時々雪	-3	2	0
2026/2/9	月	189849	163	1165	晴れ	-4	6	0
2026/2/10	火				晴れのち曇り	-2	9	1
2026/2/11	水				雨のち晴れ	4	10	1
2026/2/12	木	227034	181	1254	晴れ時々曇り	2	11	0
2026/2/13	金	185795	157	1183	晴れ時々曇り	3	12	0
2026/2/14	土	437868	316	1386	晴れ時々曇り	1	14	0
2026/2/15	日	448712	327	1372	晴れ時々曇り	7	17	0
2026/2/16	月	237077	186	1275	晴れ時々曇り	4	15	0
2026/2/17	火				晴れ時々曇り	2	11	1
2026/2/18	水				晴れ時々曇り	0	11	1
2026/2/19	木	238084	200	1190	晴れ時々曇り	1	8	0
2026/2/20	金	245091	203	1207	晴れ時々曇り	-2	11	0
2026/2/21	土	403237	287	1405	晴れ	0	16	0
2026/2/22	日	379392	279	1360	曇りのち晴れ	5	18	0
2026/2/23	月	357470	259	1380	晴れ時々雨	8	17	0
2026/2/24	火				曇り時々晴れ	5	18	1
2026/2/25	水				曇り時々雨	12	15	1
2026/2/26	木	237348	202	1175	晴れ時々曇り	10	17	0
2026/2/27	金	213438	182	1173	曇り	10	15	0
2026/2/28	土	395153	291	1358	晴れ時々曇り	8	16	0
2026/3/1	日	369882	272	1360	晴れ	5	17	0
2026/3/2	月	200591	174	1153	晴れのち曇り	5	17	0
2026/3/3	火					11	12	1
2026/3/4	水					6	12	1
2026/3/5	木	236711	205	1155	晴れ	5	13	0
2026/3/6	金	198186	175	1133	曇り時々雨	3	14	0
2026/3/7	土	408739	282	1450	晴れ時々曇り	5	11	0
2026/3/8	日	402038	299	1345	晴れ時々曇り	2	8	0
2026/3/9	月	203101	163	1246	晴れ時々曇り	0	12	0
2026/3/10	火					3	10	1
2026/3/11	水					-1	12	1
2026/3/12	木	235827	197	1197	晴れ	0	14	0
2026/3/13	金	243390	204	1193	曇り時々晴	3	10	0
2026/3/14	土	579666	340	1705	晴れ	5	16	0
2026/3/15	日	563261	322	1749	晴れ	4	15	0
2026/3/16	月	203443	177	1149	晴れ	5	16	0
2026/3/17	火					3	17	1
2026/3/18	水					4	14	1
2026/3/19	木	256188	206	1244	雨のち晴れ	7	16	0
2026/3/20	金	353575	276	1281	晴れ時々曇り	3	16	0
2026/3/21	土	429728	304	1414	晴れ	3	17	0
2026/3/22	日	428757	302	1420	晴れのち曇り	2	16	0
2026/3/23	月	212838	183	1163	曇りのち晴れ	8	18	0
2026/3/24	火					7	19	1
2026/3/25	水					10	14	1
2026/3/26	木	246537	184	1340	曇りのち晴れ	9	18	0
2026/3/27	金	256172	198	1294	晴れ	8	20	0
2026/3/28	土	414473	290	1429	晴れ	7	21	0
2026/3/29	日	438019	304	1441	晴れ時々雨	9	22	0
2026/3/30	月	244934	189	1296	晴れのち曇り	13	22	0
2026/3/31	火							
2026/4/1	水							
2026/4/2	木							
2026/4/3	金							
2026/4/4	土							
2026/4/5	日							
2026/4/6	月							
2026/4/7	火							
2026/4/8	水							
2026/4/9	木							
2026/4/10	金							
2026/4/11	土							
2026/4/12	日							
2026/4/13	月							
2026/4/14	火							
2026/4/15	水							
2026/4/16	木							
2026/4/17	金							
2026/4/18	土							
2026/4/19	日							
2026/4/20	月							
2026/4/21	火							
2026/4/22	水							
2026/4/23	木							
2026/4/24	金							
2026/4/25	土							
2026/4/26	日							
2026/4/27	月							
2026/4/28	火							
2026/4/29	水							
2026/4/30	木							
